episode,total_steps,adversary_team_return,prey_return,adversary_0_return,adversary_1_return,adversary_2_return,agent_0_return,train_touch_count,mean_critic_loss,mean_actor_loss,mean_actor_entropy,epsilon,eval_self_play_adversary_return,eval_self_play_prey_return,eval_adv_vs_random_prey_adversary_return,eval_adv_vs_random_prey_prey_return,eval_random_adv_vs_prey_adversary_return,eval_random_adv_vs_prey_prey_return,eval_self_play_touch_count,eval_adv_vs_random_prey_touch_count,eval_random_adv_vs_prey_touch_count
111,11100,0.0,-515.6303136619667,0.0,0.0,0.0,-515.6303136619667,0.0,0.006923634093254805,0.02314953412860632,1.5798636078834534,0.920125,,,,,,,,,
112,11200,60.0,-59.41930445114703,20.0,20.0,20.0,-59.41930445114703,6.0,0.012012944440357387,-0.027740863151848316,1.5622981786727905,0.919,,,,,,,,,
113,11300,0.0,-18.500187490374767,0.0,0.0,0.0,-18.500187490374767,0.0,0.007116927154129371,0.017831086181104183,1.5806228518486023,0.917875,,,,,,,,,
114,11400,0.0,-108.03320381560832,0.0,0.0,0.0,-108.03320381560832,0.0,0.005062716038082726,0.00040558818727731705,1.5593647956848145,0.91675,,,,,,,,,
115,11500,0.0,-65.34680944847662,0.0,0.0,0.0,-65.34680944847662,0.0,0.007788550719851628,0.0004763556644320488,1.578027456998825,0.915625,,,,,,,,,
116,11600,0.0,-609.9817745710286,0.0,0.0,0.0,-609.9817745710286,0.0,0.005494126511621289,0.016003458527848125,1.5802531838417053,0.9145,,,,,,,,,
117,11700,0.0,-74.73199488493137,0.0,0.0,0.0,-74.73199488493137,0.0,0.002073855372145772,0.017637005541473627,1.580641508102417,0.913375,,,,,,,,,
118,11800,0.0,-512.6405354864164,0.0,0.0,0.0,-512.6405354864164,0.0,0.005431283425423317,-0.02210040856152773,1.561774104833603,0.91225,,,,,,,,,
119,11900,90.0,-30.0,30.0,30.0,30.0,-30.0,9.0,0.007791564377839677,-0.003591430839151144,1.5775278806686401,0.911125,,,,,,,,,
120,12000,90.0,-30.0,30.0,30.0,30.0,-30.0,9.0,0.00859273155219853,-0.021609962452203035,1.5619081854820251,0.91,,,,,,,,,
121,12100,0.0,-446.8828164383867,0.0,0.0,0.0,-446.8828164383867,0.0,0.014313448540633544,0.014828392071649432,1.5808722376823425,0.908875,,,,,,,,,
122,12200,0.0,-405.3381979587537,0.0,0.0,0.0,-405.3381979587537,0.0,0.007403309835353866,-0.003965331008657813,1.5768805742263794,0.9077500000000001,,,,,,,,,
