update,train_mean_episode_return,eval_mean_episode_return,policy_loss,value_loss,entropy
78,-191.57781334221363,,-0.0015933760441839695,4.033750822146733,1.4622358679771423
79,-242.585482570529,,-0.0022396635807429752,6.76163516441981,1.4770229657491047
80,-269.5256073534489,-811.2122956633568,-0.0033651417082486055,6.979099750518799,1.5096845229466755
81,-222.2086874604225,,-0.0009218155949686965,3.1712554593880973,1.5075098474820454
82,-204.88701800107955,,-0.00012970188011725745,5.468713929255803,1.506525124112765
83,-200.29069582819938,,-0.0042432923801243305,1.5049523611863453,1.5155766556660335
84,-186.5871922880411,,-0.005250547275257607,1.8761347283919652,1.4488316575686138
85,-176.5691978275776,,-0.004341194095710914,1.0636015807588894,1.4685766001542409
86,-210.3146410226822,,0.001060516049619764,5.602845350901286,1.467462345957756
87,-247.29929099082946,,-0.0008027584214384357,4.57756965359052,1.500898003578186
88,-215.79184982180595,,-0.0014400568907149136,4.277354568243027,1.5162520955006282
89,-214.14747568368912,,-0.002486610843334347,4.992814689874649,1.4908103893200557
90,-270.3206322431564,-994.252174693346,-0.0002154571314652761,5.674196024735768,1.4892632514238358
91,-293.65332830250264,,0.0006740909302607179,6.235581298669179,1.477731704711914
92,-300.7028932094574,,-0.003081690869294107,8.502005199591318,1.4977002988258998
93,-270.1446327865124,,-0.0016984385632288952,2.7315720419089,1.5094607770442963
94,-275.964378619194,,-1.7359464739759762e-05,5.773009836673737,1.5197205245494843
95,-302.5196123957634,,-0.0003725922239633898,9.550141712029776,1.5057637890179951
96,-304.5300049990416,,-0.004672482279905428,8.192809760570526,1.5025284389654796
97,-258.2594332665205,,-0.0025189861189574003,7.344859798749288,1.5039835075537364
98,-208.42148745656013,,-0.0017088942016319681,8.068096299966177,1.5105584263801575
99,-209.33104659616947,,-0.0013291958021000028,5.339621404806773,1.5119483818610508
100,-222.30669208168985,-1150.0170901417732,-0.004556588692745815,3.4556078811486564,1.4896579931179683
101,-239.23707518279554,,-0.002533904257385681,3.1002996067206063,1.493498186270396
102,-203.77883844077587,,-0.0007315288142611583,2.8043738255898156,1.5144389271736145
103,-202.59946212172508,,-0.002655469230376184,3.3677560488382974,1.4642610400915146
104,-249.17986631095408,,0.0008289716982593139,5.815850953261058,1.4336822926998138
105,-264.6526758313179,,-0.0003029733197763562,2.6787150651216507,1.4431179265181224
106,-275.7249317824841,,-0.0019936585401107245,4.945160359144211,1.4429043978452682
107,-270.2870816618204,,-0.004311237930475424,4.95877742767334,1.4382983446121216
108,-297.5972240418196,,0.003873666205133001,9.109857618808746,1.3971175402402878
109,-359.9119797438383,,-0.0014184973357866208,8.574830253918966,1.4149124373992283
110,-328.0576007246971,-1044.895579266548,-0.0005757299562295278,6.9514495730400085,1.4004688461621602
111,-286.48006871044635,,-0.0008055104796464244,4.017570952574412,1.3949308494726818
112,-308.0261204302311,,-0.0017304808231225859,6.903238296508789,1.4131630112727482
113,-302.15056519508363,,0.0008665049487414459,9.652183512846628,1.4464254478613536
114,-226.95104738473893,,-0.0028401408926583827,5.819860011339188,1.4475022455056508
115,-196.27919901013374,,-0.00030053313821554184,5.45357279976209,1.3994826525449753
116,-245.95559148192405,,-0.0029204810271039605,3.829025536775589,1.3988711933294933
117,-268.0741749286652,,-0.005842538589301209,5.111873944600423,1.368561754624049
118,-286.49437372386456,,-0.00017208210192620754,9.369564970334372,1.3240783214569092
119,-346.8086567312479,,0.00014140724670141935,12.517590999603271,1.3970553676287334
120,-393.3487318098545,-1101.5834204792977,0.00015038282920916876,12.34848952293396,1.3785405655701954
121,-314.2794710606337,,-0.0033633725252002478,10.18276834487915,1.4306099712848663
122,-231.87471095621586,,-0.0008305221563205123,4.000248938798904,1.3568660368522008
123,-276.14564690887926,,-0.00325923659450685,4.028638601303101,1.3707434634367626
124,-257.91270295679567,,-0.004874020717882861,4.068712284167607,1.4275135944286983
125,-264.6449871093035,,-0.002840528109421333,6.642998158931732,1.4206894685824711
126,-286.66929751336573,,-0.0010229619219899178,4.335227529207866,1.3888007352749507
127,-303.96306321024895,,0.00010842977402110894,8.824707607428232,1.3808609892924626
128,-276.19053693413736,,-0.002823013967523972,3.5897152721881866,1.4013696412245433
129,-226.712383967638,,-0.002485724709307154,4.181978245576222,1.3779194404681523
130,-264.3478317588568,-1119.0333122968673,0.0019638268277049065,9.336628456910452,1.3734061072270076
131,-269.6636428743601,,-0.00507550888384382,4.836052894592285,1.4152354548374813
132,-229.62117359042168,,-0.00111179855108882,2.865215222040812,1.4306915799776714
133,-207.1415208697319,,-0.0015039737336337566,3.6676337818304696,1.3640741457541783
134,-238.06915468871594,,-0.0017564325438191493,10.343151370684305,1.3441227624813716
135,-285.97185946702956,,-0.0004853284141669671,4.6770947476228075,1.2867632955312729
136,-294.1039365082979,,0.0003696231869980693,4.5064518849054975,1.3451958696047466
137,-272.91987704336645,,5.081905207286278e-05,5.30411543448766,1.3357038001219432
138,-212.8702254086733,,-0.003149371904631456,2.2873856176932654,1.3035702208677928
139,-198.9878254711628,,-0.00626360015788426,1.5997674365838368,1.1855725298325221
140,-212.3682681798935,-1345.74588534832,-0.002082806119384865,2.968730479478836,1.216746762394905
141,-252.4541387796402,,0.0013986892687777679,10.078395247459412,1.224538857738177
142,-437.78574358522894,,0.0019478413936061163,43.415855487187706,1.1769544184207916
143,-428.90754975378513,,0.0011910027048240106,11.38922550280889,1.2868425051371257
144,-392.90805709660054,,-0.0002687752324466904,36.15833695729574,1.0821230461200078
145,-484.4122057467699,,-0.003550266847014427,29.781567255655926,1.111174503962199
146,-392.7864886879921,,-0.0009283051282788316,12.205618500709534,1.1281116157770157
147,-408.5537058651447,,0.0018069200062503417,33.06751171747843,1.1370692600806553
148,-366.9852109402418,,-0.001800415067312618,4.7037330369154615,1.1020732372999191
149,-244.75626861751078,,-0.00039231703461458284,7.13678365945816,1.178572416305542
150,-296.3681376695633,-1201.7000231981278,0.002997887243206302,9.967024902502695,1.1261515220006306
151,-336.28423795104027,,-0.0026688164798542857,15.303598761558533,1.1951456467310588
152,-340.6613844871521,,0.004183051874861121,7.9880464275678,1.1256874452034633
153,-286.02277325689795,,0.0003269872589347263,4.067559500535329,1.259355142712593
154,-270.75752983093264,,-0.0005588217366797229,7.890896916389465,1.1806210229794185
155,-306.33422223329546,,-0.0007444680280362567,4.414257595936458,1.2666563938061397
156,-381.0040175706148,,0.00017650825126717487,18.44407590230306,1.1975456376870472
157,-471.5511587738991,,0.00043263379484415054,15.514195601145426,1.183663472533226
158,-412.3528649032116,,-0.0016817602251345913,8.833252429962158,1.2333224813143413
159,-345.8360982954502,,-0.001063275655421118,12.315836230913797,1.2704699486494064
160,-376.35282393842937,-1133.521937227249,-0.00042004739710440237,8.787827054659525,1.249041313926379
161,-389.97826119214295,,-0.001972361196142932,4.825841347376506,1.317803333202998
162,-326.03168407678606,,-0.0006510710615354279,6.039536555608113,1.3833331614732742
163,-293.1863739669323,,-0.0017469850524018209,5.874901572863261,1.3289702832698822
164,-332.4049822688103,,-0.005284037130574386,4.62322465578715,1.3039249777793884
165,-286.54169153571127,,-0.004273564089089632,4.271701077620189,1.3755921373764675
166,-231.00372048020364,,-0.00214816490188241,2.2053029338518777,1.357599730292956
167,-268.6200049325824,,-0.000258750709084173,4.142935673395793,1.251407007376353
168,-226.54013893455266,,0.0019135612528771162,3.790760080019633,1.2430621633927028
169,-252.9059109210968,,-0.00036876405162426334,5.344251334667206,1.1870323518911998
170,-325.1220553100109,-774.6964436650276,-0.0022685249180843434,5.258533487717311,1.2957157045602798
171,-252.25253488719463,,-0.003990220992515485,2.3605525692303977,1.286065732439359
172,-263.880215844512,,0.00521672594671448,6.805151621500651,1.2764781415462494
173,-259.0327175527811,,-0.00022872261858234802,3.795256664355596,1.2388925155003865
174,-222.47284617722033,,-0.0021890130204459033,2.0190607011318207,1.1446579545736313
175,-225.73079726696014,,-0.0015756326417128246,1.487158787747224,1.1588883300622304
176,-244.70726663768292,,-0.002330675507740428,3.7698908944924674,1.158444384733836
