update,episode,total_steps,train_team_return,td_loss,grad_norm,q_tot_mean,q_tot_std,q_tot_max,target_q_tot_mean,target_q_tot_std,target_q_tot_max,epsilon,eval_team_return,eval_mean_agent_return
67,18,860,-12.117262633250844,2.768249273300171,29.379472732543945,20.79452896118164,4.889971733093262,39.016845703125,20.743005752563477,6.522292137145996,35.733097076416016,0.742,,
68,18,870,-25.57774194147257,2.4147114753723145,35.74116516113281,21.01447105407715,6.676052570343018,37.73317337036133,19.978425979614258,6.529357433319092,33.04482650756836,0.739,,
69,18,880,-42.65744362459657,2.568187713623047,31.88132667541504,23.323284149169922,6.7894392013549805,40.24117660522461,22.507810592651367,4.985410213470459,35.73874282836914,0.736,,
70,18,890,-60.077321661009115,2.8205137252807617,37.44926071166992,22.310270309448242,6.96615743637085,37.59000778198242,21.52776336669922,6.781088352203369,35.1990966796875,0.733,,
71,18,900,-82.6228312957379,2.5684287548065186,34.476585388183594,21.94298553466797,6.3977742195129395,38.79198455810547,21.58287811279297,6.8991241455078125,35.11505126953125,0.73,,
72,19,910,-11.697805286416596,1.737178921699524,33.34075164794922,20.101240158081055,5.75812292098999,33.52042770385742,20.13434410095215,6.226056098937988,35.20999526977539,0.727,,
73,19,920,-22.97676331798943,2.9232046604156494,31.40570831298828,21.437725067138672,5.8122358322143555,39.11091613769531,21.560863494873047,6.719429969787598,34.79224395751953,0.724,,
74,19,930,-34.845037779067,1.649225115776062,30.73479652404785,21.40960693359375,5.960456371307373,34.18791580200195,22.284889221191406,5.988834381103516,34.793540954589844,0.721,,
75,19,940,-49.83881996836203,1.7765841484069824,27.096837997436523,19.79709243774414,5.653604984283447,35.49246597290039,20.48493194580078,5.649919033050537,33.91950607299805,0.718,,
76,19,950,-61.85938866279089,2.227816581726074,30.9766788482666,23.606945037841797,6.4297194480896,38.916404724121094,22.876604080200195,4.626454830169678,33.219970703125,0.7150000000000001,,
77,20,960,-10.776959604270399,2.1706488132476807,34.37646484375,21.652223587036133,6.881575107574463,36.92584228515625,21.100990295410156,5.569159030914307,33.14532470703125,0.712,,
78,20,970,-22.442030943298352,2.402650833129883,27.869606018066406,21.552003860473633,7.425055027008057,38.99150848388672,21.075044631958008,7.0565385818481445,35.74773406982422,0.7090000000000001,,
79,20,980,-32.77212915791404,2.9757330417633057,36.159934997558594,21.275470733642578,7.442955017089844,38.97392654418945,21.729623794555664,5.793230056762695,33.026336669921875,0.706,,
80,20,990,-41.596995280682,2.5342154502868652,38.050148010253906,21.681928634643555,7.3778791427612305,34.91875076293945,21.591644287109375,6.65374755859375,34.4490966796875,0.703,,
81,20,1000,-51.9184721514647,2.4447641372680664,32.033626556396484,20.97432518005371,5.801258563995361,33.60853576660156,21.097980499267578,6.508468151092529,33.8687744140625,0.7,-67.41513628280855,-67.41513628280855
82,21,1010,-8.394151047223906,3.9257705211639404,27.81049919128418,22.1320858001709,6.390434265136719,37.429290771484375,20.451614379882812,8.801034927368164,35.748207092285156,0.6970000000000001,,
83,21,1020,-19.713758794999276,2.2719695568084717,28.90580177307129,21.484853744506836,6.4681477546691895,36.67471694946289,21.426624298095703,6.135056018829346,34.416133880615234,0.694,,
84,21,1030,-34.24715971900832,2.1691226959228516,31.127384185791016,22.2392578125,5.752835750579834,36.56387710571289,22.517822265625,5.739133834838867,33.872718811035156,0.6910000000000001,,
85,21,1040,-50.03267916226291,1.8393375873565674,25.056621551513672,21.171602249145508,5.6807332038879395,33.40457534790039,20.99148941040039,5.390744686126709,29.826589584350586,0.688,,
86,21,1050,-68.0544792853862,2.4842987060546875,33.17027282714844,21.464509963989258,6.512954235076904,36.03973388671875,19.960060119628906,6.5678253173828125,34.663963317871094,0.685,,
87,22,1060,-4.915741668905018,2.0114245414733887,30.381330490112305,21.716983795166016,5.873645305633545,34.87890625,22.14411735534668,5.116030216217041,35.17085647583008,0.6819999999999999,,
88,22,1070,-12.784972897520756,2.5803380012512207,29.473140716552734,20.920351028442383,6.137105941772461,36.12690734863281,20.658239364624023,5.931148052215576,33.32232666015625,0.679,,
89,22,1080,-20.8811178662124,1.8283300399780273,34.53632736206055,21.154239654541016,6.5567121505737305,35.85642623901367,20.47618865966797,6.101089954376221,35.24380874633789,0.6759999999999999,,
90,22,1090,-30.455872692183306,2.2140355110168457,31.39240837097168,20.745527267456055,5.376671314239502,34.21676254272461,21.008609771728516,5.80666446685791,34.32072067260742,0.673,,
91,22,1100,-42.585330211872154,1.564645528793335,34.210147857666016,21.666501998901367,5.62898063659668,36.9276237487793,21.55730438232422,5.755911827087402,34.386226654052734,0.67,,
92,23,1110,-10.17499006550198,1.9480338096618652,28.56488800048828,19.74313735961914,5.581453800201416,31.839454650878906,19.8331241607666,5.982203006744385,34.30290603637695,0.667,,
93,23,1120,-18.847855685007524,1.5875768661499023,27.417160034179688,20.093982696533203,6.855655193328857,36.58375549316406,19.876083374023438,6.2437005043029785,33.81279754638672,0.6639999999999999,,
94,23,1130,-27.073586662852563,1.8907310962677002,32.79741668701172,19.943126678466797,6.847837448120117,37.4354133605957,19.969860076904297,6.393045425415039,32.91661834716797,0.661,,
95,23,1140,-38.26926797715805,3.1351213455200195,43.430049896240234,20.584644317626953,6.001726150512695,33.13273620605469,18.72188949584961,7.336418151855469,31.910146713256836,0.6579999999999999,,
96,23,1150,-56.0519472632488,2.479104995727539,30.375835418701172,20.562694549560547,6.596586227416992,33.97879409790039,20.291507720947266,6.275693416595459,31.17143440246582,0.655,,
97,24,1160,-15.549906092280077,2.8311712741851807,37.41128158569336,21.792770385742188,6.620660781860352,36.74025344848633,20.465612411499023,7.128574848175049,32.842323303222656,0.652,,
98,24,1170,-28.55145309588786,2.281604290008545,30.69540786743164,19.43586540222168,6.3401875495910645,32.67502212524414,19.715425491333008,6.60336446762085,32.44581985473633,0.649,,
99,24,1180,-40.777302863143646,2.8198537826538086,29.318950653076172,19.92653465270996,6.479862689971924,39.791709899902344,19.727447509765625,7.139065742492676,35.069091796875,0.646,,
100,24,1190,-46.88945684917105,2.0581557750701904,34.27185821533203,20.086795806884766,6.331879138946533,36.424312591552734,19.854734420776367,6.018215656280518,30.74834632873535,0.643,,
